timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-04T11:33:51,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,f8f04a94-2e51-4e06-88a9-be47ab319b35,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1743500830000355,8.317320749831249e-07,7.082488322888802e-07,42.5,0.0,3.0,1.3863514261111555e-05,0,9.785078125001217e-07,1.4842022073611678e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:54,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,c8142670-bc27-4fcf-bb0d-312fc330924c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9553714170001513,2.0931374406480808e-06,7.0824852287863e-07,42.5,0.0,3.0,3.488877043611278e-05,0,2.4626712500001227e-06,3.73514416861129e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:55,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,b496fa75-ea9f-4da9-942d-7163e69cc03e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0350979160000406,2.4833511604262067e-08,7.075494626015206e-07,42.5,0.0,3.0,4.140296875018774e-07,0,2.9117256666684933e-08,4.4314694416856234e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:55,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,7c41b177-b4c5-4531-b4c3-8d3c905feee2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1005744169999616,7.121102515935158e-08,7.080431314792385e-07,42.5,0.0,3.0,1.187041232637714e-06,0,8.3699236666727e-08,1.2707404693044411e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:56,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,50abda31-238e-46b2-8988-a87c5118b51f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0931748749999314,6.59698006166007e-08,7.080213482084006e-07,42.5,0.0,3.0,1.0996830729142618e-06,0,7.752923666657807e-08,1.17721230958084e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:57,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,7e84c8e3-63cc-4144-b63f-059ba511147d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1355600839999624,9.598870552035292e-08,7.08089746539103e-07,42.5,0.0,3.0,1.600036954166247e-06,0,1.1285416666661757e-07,1.7128911208328648e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:57,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,b548a76b-96b3-4f04-a254-207653ff9851,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0073397920000388,5.174516285231509e-09,7.049949487947488e-07,42.5,0.0,3.0,8.633895069417957e-08,0,5.998819166658601e-09,9.233776986083817e-08,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:34:01,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,2b67d5f1-4f88-4226-b578-c9d59f97bd41,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.098437958999966,2.902766531130697e-06,7.08261674367027e-07,42.5,0.0,3.0,4.838386774514068e-05,0,3.415174549166788e-06,5.179904229430747e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:34:03,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,273cb02c-ed92-47bc-93c3-654a8d2a0dec,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2409512499998527,8.789020287132858e-07,7.082486348383066e-07,42.5,0.0,3.0,1.4649771155554152e-05,0,1.033985312499984e-06,1.5683756468054137e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:34:04,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,65ab0ccd-4a9d-4466-b5df-bb9851539fe2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.7677939590000733,5.43774910301892e-07,7.082302536087551e-07,42.5,0.0,3.0,9.063799392359803e-06,0,6.397090625000601e-07,9.703508454859864e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
